jour_de_tirage;date_de_tirage;heure_de_tirage;date_de_forclusion;Numero;devise;
Lundi   ;02/11/2015;soir;02/01/2016;0 335 251;eur;
Lundi   ;02/11/2015;midi;02/01/2016;9 856 770;eur;
Dimanche;01/11/2015;soir;01/01/2016;7 922 637;eur;
Dimanche;01/11/2015;midi;01/01/2016;5 782 732;eur;
Samedi  ;31/10/2015;soir;31/12/2015;9 140 760;eur;
Samedi  ;31/10/2015;midi;31/12/2015;6 880 083;eur;
Vendredi;30/10/2015;soir;30/12/2015;2 155 830;eur;
Vendredi;30/10/2015;midi;30/12/2015;8 045 273;eur;
Jeudi   ;29/10/2015;soir;29/12/2015;0 092 572;eur;
Jeudi   ;29/10/2015;midi;29/12/2015;4 161 012;eur;
Mercredi;28/10/2015;soir;28/12/2015;3 176 784;eur;
Mercredi;28/10/2015;midi;28/12/2015;8 380 367;eur;
Mardi   ;27/10/2015;soir;27/12/2015;6 654 962;eur;
Mardi   ;27/10/2015;midi;27/12/2015;0 469 657;eur;
Lundi   ;26/10/2015;soir;26/12/2015;8 025 093;eur;
Lundi   ;26/10/2015;midi;26/12/2015;3 503 771;eur;
Dimanche;25/10/2015;soir;25/12/2015;9 481 912;eur;
Dimanche;25/10/2015;midi;25/12/2015;6 175 031;eur;
Samedi  ;24/10/2015;soir;24/12/2015;1 113 435;eur;
Samedi  ;24/10/2015;midi;24/12/2015;8 722 957;eur;
Vendredi;23/10/2015;soir;23/12/2015;4 330 138;eur;
Vendredi;23/10/2015;midi;23/12/2015;2 810 394;eur;
Jeudi   ;22/10/2015;soir;22/12/2015;0 159 007;eur;
Jeudi   ;22/10/2015;midi;22/12/2015;9 344 039;eur;
Mercredi;21/10/2015;soir;21/12/2015;3 851 929;eur;
Mercredi;21/10/2015;midi;21/12/2015;8 214 834;eur;
Mardi   ;20/10/2015;soir;20/12/2015;8 405 810;eur;
Mardi   ;20/10/2015;midi;20/12/2015;1 454 837;eur;
Lundi   ;19/10/2015;soir;19/12/2015;8 740 307;eur;
Lundi   ;19/10/2015;midi;19/12/2015;1 304 441;eur;
Dimanche;18/10/2015;soir;18/12/2015;6 499 158;eur;
Dimanche;18/10/2015;midi;18/12/2015;5 775 558;eur;
Samedi  ;17/10/2015;soir;17/12/2015;3 122 195;eur;
Samedi  ;17/10/2015;midi;17/12/2015;8 779 287;eur;
Vendredi;16/10/2015;soir;16/12/2015;5 730 766;eur;
Vendredi;16/10/2015;midi;16/12/2015;1 214 728;eur;
Jeudi   ;15/10/2015;soir;15/12/2015;7 646 908;eur;
Jeudi   ;15/10/2015;midi;15/12/2015;3 487 922;eur;
Mercredi;14/10/2015;soir;14/12/2015;8 836 668;eur;
Mercredi;14/10/2015;midi;14/12/2015;5 697 785;eur;
Mardi   ;13/10/2015;soir;13/12/2015;7 474 520;eur;
Mardi   ;13/10/2015;midi;13/12/2015;0 679 987;eur;
Lundi   ;12/10/2015;soir;12/12/2015;7 445 029;eur;
Lundi   ;12/10/2015;midi;12/12/2015;5 935 251;eur;
Dimanche;11/10/2015;soir;11/12/2015;0 070 300;eur;
